omg;produktnamn;correct_row;turnover;utd13;utd12;utd11;utd10;ant13;ant12;ant11;ant10;count1;countx;count2;random_results;people_was_right;oddset_was_right;people_was_wrong;oddset_was_wrong;people_max_sum;oddset_max_sum;people_min_sum;oddset_min_sum;people_sum;oddset_sum;people_diff_sum;oddset_diff_sum;odds1_ok;odds2_ok;odds3_ok;people1_ok;people2_ok;people3_ok;id
200040;Stryktipset;X2XX111111X21;0;6229;227;25;0;581;11877;109414;534625;7;4;2;0;7;7;0;2;575;507;333;389;478;409;242;118;0;0;0;0;0;1;1442
200041;Stryktipset;X211X11X11121;0;29255;721;67;20;91;2322;26288;179352;8;3;2;0;5;8;4;1;466;603;410;323;443;527;56;280;1;1;1;1;0;1;1443
200042;Stryktipset;12112112X212X;0;45179;1202;83;0;96;2697;40253;289230;6;2;5;0;5;8;4;2;558;629;348;312;437;547;210;317;1;1;1;0;1;0;1444
200043;Stryktipset;X11111111XXX2;0;3679;164;0;0;1734;31786;243141;1034023;8;4;1;0;6;10;4;1;556;643;346;301;473;604;210;342;1;1;1;1;1;0;1445
200044;Stryktipset;12211121X1X11;0;35197;978;93;0;131;3526;38043;246819;8;2;3;0;6;8;2;1;531;603;359;324;450;539;172;279;1;1;1;0;1;0;1446
200045;Stryktipset;21XX111X212X2;0;204689;2955;176;41;15;654;11624;103956;5;4;4;1;4;7;4;3;492;615;391;321;430;500;101;294;0;1;1;0;0;1;1447
200046;Stryktipset;2,11221E+12;0;623919;10283;880;237;5;191;2363;18488;7;0;6;0;7;5;5;5;564;590;342;331;463;445;222;259;1;0;0;0;1;1;1448
200047;Stryktipset;112X2122X1121;0;65469;1385;121;35;50;1488;17918;128045;6;2;5;0;6;6;2;3;692;569;276;345;544;499;416;224;1;1;0;1;1;0;1449
200048;Stryktipset;11111X211X1X2;0;39088;729;62;0;120;4806;57789;348727;8;3;2;0;8;9;2;3;740;631;242;310;609;554;498;321;1;1;1;1;1;1;1450
200049;Stryktipset;21XX1111X211X;0;124482;2343;181;49;25;836;11405;88288;7;4;2;0;4;6;2;2;736;594;246;329;534;491;490;265;1;1;0;1;1;1;1451
200050;Stryktipset;2111XX111X111;0;79455;1897;160;46;39;1028;12891;93248;9;3;1;0;6;5;3;3;710;592;255;330;532;502;455;262;1;1;0;1;0;1;1452
200051;Stryktipset;X11211X112122;0;98031;1673;127;34;32;1180;16406;128464;7;2;4;0;8;6;2;2;750;636;234;305;557;517;516;331;1;0;1;1;0;1;1453
200052;Stryktipset;2XX1112X21X1X;0;995584;26486;1719;377;3;71;1158;11126;5;5;3;6;5;5;3;2;771;596;213;330;411;434;558;266;0;0;0;0;0;0;1454
200101;Stryktipset;1X1112222122X;0;45687;831;63;0;89;3657;49812;341795;5;2;6;0;9;8;2;4;782;635;216;306;612;513;566;329;0;1;1;0;1;1;1455
200102;Stryktipset;2X22212XX1121;0;50065;1361;125;38;60;1389;16003;111003;4;3;6;0;7;5;3;3;724;583;249;341;536;484;475;242;1;1;0;1;1;0;1456
200103;Stryktipset;11XX2X21X2111;0;550397;12231;831;201;6;170;2647;23117;6;4;3;2;5;6;4;3;763;620;221;312;453;486;542;308;1;0;0;1;0;0;1457
200104;Stryktipset;121212X212112;0;353924;6597;439;99;9;304;4829;44905;6;1;6;0;6;5;5;5;737;611;239;323;504;460;498;288;1;0;0;1;0;1;1458
200105;Stryktipset;112211X2XXX2X;0;153328;3317;232;59;20;582;8792;73059;4;5;4;1;5;5;3;3;735;593;248;333;530;491;487;260;1;1;0;1;1;0;1459
200106;Stryktipset;2XX112XX1X112;0;414857;9674;657;169;8;216;3363;27565;5;5;3;0;4;4;5;5;715;586;255;334;459;445;460;252;0;1;1;1;0;1;1460
200107;Stryktipset;1X1X1111X121X;0;65878;1050;101;31;46;1816;19895;137438;8;4;1;0;7;7;2;2;758;627;222;318;564;509;536;309;1;0;1;1;1;0;1461
200108;Stryktipset;1121X22212111;0;71660;1180;85;0;67;3043;43171;318034;7;1;5;0;9;9;3;3;734;610;240;319;595;520;494;291;1;0;1;0;1;1;1462
200109;Stryktipset;111XXX12112X2;0;50733;1093;101;33;64;1869;21368;137925;6;4;3;0;5;4;4;4;725;571;257;346;541;489;468;225;1;1;1;1;1;1;1463
200110;Stryktipset;211121211122X;0;120397;1552;87;20;25;1221;22922;208610;7;1;5;0;9;7;3;4;759;641;228;305;590;513;531;336;0;1;1;0;1;1;1464
200111;Stryktipset;21222112X2X11;0;445554;8285;488;119;7;237;4256;36876;5;2;6;0;6;4;5;4;749;603;240;324;503;476;509;279;1;1;0;1;0;1;1465
200112;Stryktipset;1122XX21XXX2X;0;21992;618;63;20;132;2957;30576;196450;3;6;4;0;6;6;1;2;809;694;191;267;582;523;618;427;1;1;0;1;1;0;1466
200113;Stryktipset;112122X1XXX21;0;2716079;8399;528;125;3;236;3968;35399;5;4;4;0;5;5;3;3;754;624;227;308;485;460;527;316;0;1;0;1;1;0;1467
200114;Stryktipset;1X22X2212X211;0;124487;2636;209;56;22;654;8713;68332;4;3;6;1;7;7;2;3;742;593;238;326;515;453;504;267;1;0;0;1;0;0;1468
200115;Stryktipset;21212112XXX11;0;490722;5941;338;77;5;260;4830;44745;6;3;4;0;6;6;4;4;731;623;250;312;521;473;481;311;0;1;0;0;1;1;1469
200116;Stryktipset;122X1X21XX2X1;0;623582;7373;583;130;4;213;2848;26873;4;5;4;0;6;5;3;3;729;590;257;333;478;453;472;257;1;0;1;0;1;0;1470
200117;Stryktipset;222X2111X2122;0;20530;634;65;0;181;4381;43700;245140;4;2;7;0;9;8;3;2;705;568;276;349;588;501;429;219;1;1;0;1;1;1;1471
200118;Stryktipset;21111111XX121;0;101808;1188;87;0;33;2114;29614;194453;9;2;2;0;8;9;2;3;756;605;236;326;589;538;520;279;0;1;1;1;0;1;1472
200119;Stryktipset;211X22X2111X2;0;1769734;7395;709;209;4;177;1954;13977;5;3;5;0;4;5;6;4;753;564;233;352;439;426;520;212;1;0;0;1;1;0;1473
